ts_hour,id,id_tsloc,ix,iy,t,q,u,v,psfc,glw,gsw,hfx,lh,grdflx,tsk,tslb(1),rainc,rainnc,clw
2015-04-21 00:00:00,3,1,38,73,0.6073678293135198,0.003800445269016684,-0.382213525046382,-0.5764917810760672,91630.07855996284,216.77501148422797,224.9047358812588,-0.47862630797773625,2.482921447124302,-3.034636307977736,0.27601359925786023,-9.994187161410036,0.0,0.0,0.0
2015-04-21 01:00:00,3,1,38,73,0.8494721111110862,0.0036263703703703688,-0.1950963888888889,-0.11717955555555537,91629.00117181479,217.53752514814934,119.92975212962828,-0.2971132037037036,1.093601185185186,-3.126277129629631,0.17057459259256688,-9.938900148148166,0.0,0.0,1.7407407407407442e-06
2015-04-21 02:00:00,3,1,38,73,0.8086606111110866,0.003491222222222227,-0.12221427777777764,0.16158174074074078,91613.18122079634,220.48156666666785,93.8836344629634,-0.5656075185185183,0.8284565925925929,-3.0516919999999987,-0.3733925740740978,-9.872982185185206,0.0,0.0,0.0016902777777777775
2015-04-21 03:00:00,3,1,38,73,-0.07203194444446936,0.003227018518518532,0.1303691296296296,0.21992885185185215,91607.42971664824,233.22978135185298,60.86554099999944,-1.832985981481481,0.0015932407407407406,-1.900673851851852,-3.9392244259259517,-9.81734098148151,0.0,0.0,0.007123944444444447
2015-04-21 04:00:00,3,1,38,73,-1.217635129629655,0.0032441666666666643,0.3183229629629629,-0.5543482962962966,91612.2415076296,244.45769155555726,29.122287870369888,-6.3485141296296295,0.0,-0.7372571666666667,-7.5064181296296635,-9.784366796296323,0.0,0.0,0.013617981481481491
2015-04-21 05:00:00,3,1,38,73,-2.933728666666695,0.003220870370370368,-0.1569580555555556,0.047069018518518274,91627.79982635187,247.7044120740735,7.323272055555671,-7.630237351851856,0.0,0.5065791296296294,-11.337106277777806,-9.773384388888855,0.0,0.0,0.017459629629629624
2015-04-21 06:00:00,3,1,38,73,-4.072406314814836,0.0032024444444444565,0.1885353518518518,0.36253798148148136,91632.44295424069,248.34674048147954,0.006241851851851852,-6.783405074074071,0.0,1.0645411481481475,-13.057419537037047,-9.773369999999968,0.0,0.0,0.022598518518518518
2015-04-21 07:00:00,3,1,38,73,-4.5140757222222465,0.0032604259259259535,0.3181190925925924,0.3501336851851853,91650.22945605544,254.6334776851861,0.0,-6.23388335185185,0.0,0.7115570370370379,-11.967149944444463,-9.773369999999968,0.0,0.00026048148148148154,0.035742666666666666
2015-04-21 08:00:00,3,1,38,73,-3.8291880925926223,0.003199648148148122,0.4482192777777781,0.022438166666666665,91677.97543401858,288.397231796295,0.0,-1.7640679999999997,0.0,-1.2411780370370369,-5.936414166666691,-9.761043722222245,0.0,0.016589981481481473,0.07970798148148149
2015-04-21 09:00:00,3,1,38,73,-3.553588722222242,0.003188537037037077,0.0274192777777778,0.155518,91691.5238859815,298.69766031481464,0.0,-0.25303566666666655,0.0,-1.8174173148148134,-4.115682240740766,-9.717364314814832,0.0,0.07832307407407411,0.09749877777777778
2015-04-21 10:00:00,3,1,38,73,-3.4464251111111373,0.00316842592592592,0.9485329629629632,0.26974324074074124,91693.99677370377,298.8096856851886,0.0,-0.9726601481481486,-0.41037607407407434,-1.8949722037037033,-3.84380896296299,-9.683393018518546,0.0,0.12020338888888892,0.10908133333333342
2015-04-21 11:00:00,3,1,38,73,-3.697714370370394,0.0030754814814814885,1.3661234814814809,0.051114166666666745,91683.39552946287,297.0128661851855,0.0,-1.5252165000000004,-0.7571777777777783,-1.8288957407407418,-4.0170088148148375,-9.650529129629652,0.0,0.1513111481481481,0.1753577407407407
2015-04-21 12:00:00,3,1,38,73,-3.958363351851877,0.0030709074074074015,1.2932732037037042,0.5891485925925923,91666.19930561112,285.45799916666783,0.0,-3.820118203703704,-0.0651719814814815,-1.176747037037037,-5.992026648148175,-9.619892333333363,0.0,0.253094962962963,0.24388075925925928
2015-04-21 13:00:00,3,1,38,73,-4.166084462962991,0.003045370370370365,0.9605495555555564,0.8058621666666668,91637.65530959255,281.5557749444425,0.0,-4.144152037037035,0.0,-0.9503070185185185,-6.659342777777804,-9.598149537037058,0.0,0.46336588888888885,0.19122794444444433
2015-04-21 14:00:00,3,1,38,73,-4.567526074074097,0.0029099444444444433,1.2013158518518514,-0.7023002777777774,91621.34453144448,284.8953087592597,7.25946116666665,-0.9219361296296292,-0.4364947777777777,-1.4334697592592585,-5.135475222222242,-9.58430511111119,0.0,0.6865747777777772,0.14788574074074065
2015-04-21 15:00:00,3,1,38,73,-4.28643216666669,0.002889074074074055,2.600646740740739,-0.6979014814814813,91601.3926505371,286.7206706481487,20.948210351851845,4.280821629629631,4.882445425925923,-1.7566292777777772,-4.09863720370373,-9.563221962962984,0.0,0.8535225185185189,0.2687242777777781
2015-04-21 16:00:00,3,1,38,73,-4.246561518518545,0.0028693888888888775,3.3306388148148174,-0.9905852592592588,91596.07304687046,285.33111544444057,40.69291140740704,12.77092687037037,13.193717666666684,-1.8358587962962971,-3.797026240740767,-9.535045000000027,0.0,1.1363258888888879,0.2802154074074074
2015-04-21 17:00:00,3,1,38,73,-4.2772364444444735,0.002862314814814816,3.8970532777777778,-1.3097679259259252,91595.93232051848,286.9448203333351,60.08021012962997,24.10341007407407,21.25479961111111,-1.893831481481481,-3.5324384814815075,-9.50577179629633,0.0,1.6270946111111122,0.3726597037037037
