"date","hour","soil1_moss","soil1_5cm","soil1_10cm","soil1_20cm","soil1_50cm","soil1_100cm","soil1_150cm"
2015-04-29,2100,-2.302,-2.577,-2.252,-2.003,-1.852,-1.644,-1.418
2015-04-29,2400,-2.361,-2.63,-2.312,-2.062,-1.889,-1.67,-1.452
2015-04-30,300,-2.38,-2.642,-2.342,-2.095,-1.913,-1.686,-1.466
2015-04-30,600,-2.396,-2.656,-2.365,-2.121,-1.935,-1.699,-1.477
2015-04-30,900,-2.44,-2.654,-2.376,-2.15,-1.95,-1.704,-1.492
2015-04-30,1200,-2.402,-2.553,-2.3,-2.116,-1.893,-1.632,-1.447
2015-04-30,1500,-2.271,-2.475,-2.254,-2.034,-1.875,-1.621,-1.376
2015-04-30,1800,-2.265,-2.461,-2.261,-2.033,-1.902,-1.652,-1.37
2015-04-30,2100,-2.292,-2.484,-2.289,-2.081,-1.919,-1.663,-1.408
2015-04-30,2400,-2.29,-2.477,-2.304,-2.104,-1.937,-1.676,-1.429
2015-05-01,300,-2.368,-2.506,-2.358,-2.168,-1.999,-1.732,-1.491
2015-05-01,600,-2.385,-2.466,-2.331,-2.169,-1.998,-1.726,-1.496
2015-05-01,900,-2.349,-2.402,-2.272,-2.134,-1.964,-1.691,-1.467
2015-05-01,1200,-2.339,-2.308,-2.188,-2.1,-1.908,-1.629,-1.44
2015-05-01,1500,-2.179,-2.195,-2.091,-1.995,-1.844,-1.578,-1.351
2015-05-01,1800,-2.089,-2.135,-2.042,-1.946,-1.808,-1.549,-1.31
2015-05-01,2100,-2.125,-2.164,-2.08,-1.98,-1.841,-1.586,-1.346
2015-05-01,2400,-2.128,-2.161,-2.097,-1.998,-1.865,-1.614,-1.373
2015-05-02,300,-2.137,-2.135,-2.104,-2.021,-1.892,-1.639,-1.409
2015-05-02,600,-2.096,-2.064,-2.064,-1.998,-1.879,-1.63,-1.399
2015-05-02,900,-2.055,-1.969,-2.019,-1.976,-1.872,-1.627,-1.393
2015-05-02,1200,-2.052,-1.835,-1.952,-1.968,-1.851,-1.602,-1.404
2015-05-02,1500,-1.859,-1.626,-1.826,-1.851,-1.796,-1.559,-1.331
2015-05-02,1800,-1.715,-1.48,-1.734,-1.761,-1.767,-1.554,-1.282
2015-05-02,2100,-1.614,-1.22,-1.599,-1.678,-1.753,-1.563,-1.276
2015-05-02,2400,-1.721,-1.228,-1.612,-1.718,-1.83,-1.648,-1.394
2015-05-03,300,-1.785,-1.283,-1.645,-1.749,-1.864,-1.698,-1.461
2015-05-03,600,-1.756,-1.333,-1.644,-1.731,-1.839,-1.693,-1.467
2015-05-03,900,-1.721,-1.31,-1.608,-1.707,-1.786,-1.657,-1.457
2015-05-03,1200,-1.655,-1.169,-1.509,-1.648,-1.712,-1.585,-1.417
2015-05-03,1500,-1.45,-1.007,-1.402,-1.524,-1.646,-1.543,-1.334
2015-05-03,1800,-1.329,-0.922,-1.334,-1.443,-1.609,-1.532,-1.289
2015-05-03,2100,-1.255,-0.881,-1.28,-1.383,-1.596,-1.542,-1.293
