ts_hour,id,id_tsloc,ix,iy,t,q,u,v,psfc,glw,gsw,hfx,lh,grdflx,tsk,tslb(1),rainc,rainnc,clw
2015-04-21,3,1,38,73,-2.7047599197469183,0.0031904761169842034,1.5452816999768473,-0.16036208889574863,91631.85210509747,270.38286018055146,60.77050113280798,12.845814987267557,15.494622217763698,-1.678590120379664,-4.311220219152738,-9.638263996450073,0.0,0.9115639663554274,0.12686004166988163
2015-04-22,3,1,38,73,-5.010321430555581,0.002409827932098769,1.7708591311728434,2.5068946589506242,92166.80675455817,228.14463319984745,68.46432307330755,-10.334531816358046,24.71403259259257,-0.6404159814814788,-7.0678709405864515,-9.14726183024646,0.0,7.480306077933031,0.03632033796296154
2015-04-23,3,1,38,73,-3.215497945216059,0.0021919992283950243,-1.2987952245370344,7.9421842569444285,92656.72498309502,206.74634026928433,79.65601807639179,-77.4002221813274,74.86687241280875,-1.1291236813271628,-5.217986356481527,-9.005964825617546,0.0,8.717820000001877,0.001828330246913467
2015-04-24,3,1,38,73,-3.9899519120370988,0.001943146604938244,-0.42686028240740487,3.311438956790135,92622.83855729642,200.0343831381057,86.05198866821226,-34.65992366975321,28.034404468364272,-0.45766623842592596,-7.648713216820974,-8.882647979937367,0.0,8.717820000001877,0.001965842592592563
2015-04-25,3,1,38,73,-2.717344103395086,0.002878775462962961,0.1558840385802468,0.6736780933641969,92404.36422589737,227.9480882229928,77.94028951312009,-5.899909587962957,13.848120585648147,-0.9246522901234533,-6.603366513117299,-8.535870334876662,0.0,8.721214315588979,0.004684475308642907
2015-04-26,3,1,38,73,-3.5134906172839826,0.002821587191357969,0.1780672646604933,0.1669552283950609,92416.472005193,217.14141750153956,81.59787397530683,1.6834437561728524,12.885490988425957,-0.23404928780864456,-7.765175794753119,-8.123902459876728,0.0,8.722768601853842,0.0001821003086419647
2015-04-27,3,1,38,73,-6.371012996142037,0.002626466049382754,0.3106790030864195,-0.6500618279321014,92294.53406569308,218.0912879459804,70.28082577931951,10.172600716049399,9.527431057870364,1.1750106242284037,-9.926615792438275,-8.259847752314121,0.0,8.8382821882723,0.001124819444444387
2015-04-28,3,1,38,73,-7.982264522376532,0.0023483526234568106,0.2762601543209887,-0.9983460162037041,92101.22667218307,204.10007688349043,73.38204875077143,9.528077709876532,9.357025494598759,2.131697658179016,-11.99826572993832,-8.953439442129858,0.0,8.973604256943572,0.0002074421296296494
2015-04-29,3,1,38,73,-8.666759843364193,0.002187922067901277,0.18870401620370406,-0.6271353364197523,91866.7220498186,199.17424447531334,74.04066391898549,7.982923388888884,8.913888266975327,2.155829685185189,-12.516144027777754,-9.436501159722676,0.0,9.09976661805496,0.000318269290123463
2015-04-30,3,1,38,73,-8.747207968364242,0.002151163580246803,-0.3527523726851864,-1.0710400848765442,92187.23272507172,198.68821359877072,74.93455865895396,8.136791777777772,10.663054939814812,2.178524453703708,-12.893460129629693,-9.774687476080585,0.0,9.232315827930803,0.0003834853395061945
2015-05-01,3,1,38,73,-5.584073278549397,0.0024038726851851656,-0.664167169753082,0.6089852554012357,92659.94166903739,208.0440839652755,80.43160387654204,-5.1125736612654755,16.5369034845679,-0.23840186805556038,-9.504799797839507,-9.727406788580508,0.0,9.286076442901578,0.0013880632716048724
2015-05-02,3,1,38,73,-2.3689658132716227,0.0027835810185185975,-0.4661354645061712,1.765344147376542,93205.39555662023,213.24659471219235,89.68676524614317,-13.893199652777751,9.196559283950654,-2.5488169143518564,-6.1032720084877,-8.818970926698041,0.0,9.28830000000016,4.902777777777384e-05
2015-05-03,3,1,38,73,-2.5180385725308723,0.0028175300925925018,-0.26011635648148157,1.4998848719135858,93565.17564619849,215.95937184645223,95.73109959722744,-11.21492533873458,10.121322337962956,-2.2157298317901204,-6.179171145061769,-7.890708040122763,0.0,9.28830000000016,0.0026481736111110643
2015-05-04,3,1,38,73,-1.8197896620370668,0.0027073472222222225,0.008027825617284564,0.5138912770061734,93502.8622492237,237.8946434228269,98.32151815431926,0.030172130401249567,12.482929847993825,-4.071227393518523,-4.558766212191407,-6.982301567129741,0.0,9.28830000000016,0.013475238425926028
2015-05-05,3,1,38,73,-5.462520500771606,0.0025543032407407324,0.30416156867283795,-2.17365216589506,93296.18272991214,267.32361241204563,76.33378842437854,25.336646269290107,18.760559707561676,-2.5748967677469206,-4.7579543881173025,-6.312991473765276,0.0,11.826618537037099,0.10051851697530796
2015-05-06,3,1,38,73,-4.448595959876561,0.0025816396604938442,-0.39257730015431747,1.4873551628086419,93161.05609569428,219.60111827933662,86.70072870370416,-11.299796594135813,16.61875080324078,-0.5977677083333346,-6.757572795524701,-7.051893317129587,0.0,14.150796912811051,0.00388683719135799
2015-05-07,3,1,38,73,-0.4570295007716264,0.0033702515432097605,-0.18835364814814834,3.8911681180555515,92748.55692637368,223.46665587653615,96.94824744290084,-37.12536518132727,22.20343710570992,-5.455862756944451,-3.160913132716056,-6.28469968904317,0.0,14.151320000002498,0.0005730902777777545
2015-05-08,3,1,38,73,1.4060954074073824,0.004199659722222407,-0.12369352314814806,4.278749945216054,92271.49676050244,251.0901979760799,100.68036006249956,-46.45401811265463,21.701822307098798,-9.812984290123438,-0.5328077831790345,-5.196903409722348,0.0,14.151320000002498,0.00722122222222216
2015-05-09,3,1,38,73,2.1244177037036756,0.004638919753086387,-0.06732866589506091,1.0786185509259236,92456.51343070097,306.9337585161956,67.02752678317991,-10.670551313271647,4.665260472222213,-10.787072479938278,0.09229012654318466,-4.244127412808625,0.0,15.439814655866458,0.15114621604938352
