"","ts_hour","diff_gr_t","diff_gr_glw","diff_gr_gsw","diff_gr_hfx","diff_gr_lh","diff_gr_grdflx","diff_gr_tsk","diff_gr_tslb.1.","diff_gr_rainc","diff_gr_rainnc","diff_evgr_t","diff_evgr_glw","diff_evgr_gsw","diff_evgr_hfx","diff_evgr_lh","diff_evgr_grdflx","diff_evgr_tsk","diff_evgr_tslb.1.","diff_evgr_rainc","diff_evgr_rainnc","diff_real_t","diff_real_glw","diff_real_gsw","diff_real_hfx","diff_real_lh","diff_real_grdflx","diff_real_tsk","diff_real_tslb.1.","diff_real_rainc","diff_real_rainnc"
"1","2015-04-21",-0.0744652473184826,-0.336811796442134,0.116471830388832,-0.0141827015973064,0.0442011644416489,0.0130989844895446,-0.0407744509607326,0.00168483910847783,0,-0.0095580893587498,-0.139153744887714,-0.383980471518441,0.345080864268077,-0.189714445559032,-0.593310358052349,0.0312296411760116,-0.054846610077945,0.000287098541557285,-0.0203083987962034,0.00349981711551661,0.159820288602521,0.167272855127464,-0.480505118443808,-0.614048191218449,0.163693001003136,-0.00879695038197781,0.0291724770429997,0.000880589552078703,0,0.00996774828304403
"2","2015-04-22",-0.0819095439814923,0.262607599543713,-0.168520482247757,-0.881022829475313,-0.0715356195986772,-0.0657178773148135,0.238585927469149,0.00784894907563505,0,0.207298746141851,-0.246807169753095,-0.518530920520561,-0.180752432864324,-3.72487646682106,2.36430166435182,-0.0285677924382682,0.262166807870358,-0.0716393510810427,0,0.35693750231588,0.0598609575617157,-0.0370318341043401,-0.389987329470216,1.69482560802476,1.09857918595678,0.20273343209877,-0.731454036265405,-0.0133100146608705,0,-0.26135828703806
"3","2015-04-23",0.00191919830250731,2.5698686488964,-0.356525425150878,-5.02683922916695,7.0948421165122,0.00785731249999633,0.00591467052467287,0.0132701226849843,0,0.289470000000744,-0.124891662037012,3.06308096218882,-0.573747128079049,-7.79922437422854,10.6439041265434,0.143578128086419,-0.0794560447531039,-0.0717037932099132,0,0.512310000002095,-0.210495084876559,4.27762091744711,-0.230442365739151,8.93207517052441,-2.98354414814807,0.111259841820987,-0.473750283179035,-0.0608193371914183,0,-0.370610000000541
"4","2015-04-24",-0.200611120370417,-0.411665218398269,-0.261787362649258,-5.85667124228401,2.51660401157407,-0.177961935956791,0.62856991820993,0.0370365455261812,0,0.289470000000744,-0.399207685185198,-1.36805174308799,-0.459601513116212,-10.0265082476852,4.0120866288581,-0.366528794753085,1.21579705787042,-0.00635444753057257,0,0.512310000002095,0.252005290123434,0.0802472044681508,-0.168467459099475,7.56124200077165,-2.87551919444433,0.338840894290125,-1.2181673503086,-0.110191844134363,0,-0.370610000000541
"5","2015-04-25",-0.069737842592601,-0.071004166662533,-0.166085100304102,0.0452151010802373,0.533328662037041,0.00896363194444927,0.0430272685185615,0.0532216890430171,0,0.285664531639826,-0.166089740740752,-0.200740768500111,-0.58846550847899,0.158819033178977,0.429554385030865,0.0487460115740758,0.0262674899691389,-0.0522876905866845,0,0.51372872376982,0.0717654166666466,0.162904537029306,-10.1561311211382,-0.316692652777793,0.176035151234563,0.0709316820987722,-0.269104225308658,-0.148826493826817,0,-0.36721568441344
"6","2015-04-26",-0.0585964745370409,-0.452347785506731,-0.133277181331394,-0.415429792438274,0.480571320216061,-0.00586902314815013,0.0201468395061983,-0.000908050154851736,0,0.283825129632612,-0.151860578703714,-0.909718081788043,-0.352260662808334,-0.847225867283942,1.79635833950619,-0.0531862229938297,0.0513535092592834,-0.102982538580125,0,0.514312530096172,-0.048856932870375,-0.446719519284528,-10.2062452021641,-2.81644201003088,1.81582714274693,0.220488510030857,-0.531137972993813,-0.273670359568835,0,-0.36587358179041
"7","2015-04-27",-0.0520858881173192,1.01551233026467,-0.760365310958761,0.348606990740734,-0.587573325617315,-0.0140462152777718,0.032357712191363,-0.0181290841036184,0,0.268817531635307,-0.196141646604993,-0.0610878935267749,-0.833255373458911,0.509292778549417,-0.877261521604982,0.00114626774692073,-0.210823165895029,-0.0866722222207148,0,0.483723834105936,-0.015579613425956,6.28140111882601,-1.33727099306054,3.55564639969137,0.21470107870369,-0.380866410493832,-0.0256205748456484,-0.423920572530021,0,-0.384855842593263
"8","2015-04-28",-0.095588382716068,-0.049423056322297,-0.242022205245775,-0.0807448155864581,-0.144582724537029,0.0288257445987594,-0.0253216095678663,-0.0197684614196039,0,0.263284649690592,-0.204218454475293,-0.478924252307593,-0.365755131947068,-0.223423811728395,-0.227241889660489,-0.119206025462971,-0.137892491512428,-0.0683624483027785,0,0.458422567128704,0.0351248325617401,-0.108325473766882,-0.213625807868738,-0.0921997060185333,-0.0788887885802261,-0.263972405092589,-0.13151903703705,-0.274624527777284,0,-0.390835304011919
"9","2015-04-29",-0.045511891203649,-0.209768617271692,-0.216305050150169,-0.41149305092591,-0.112858344135756,0.00606335493826693,0.0169452739197418,-0.0109170208330447,0,0.257954438271074,-0.141305003858015,-0.546274356466967,-0.314382030863229,-0.518033980709858,-0.0422096157407221,-0.116393623456792,-0.103757132715955,-0.031685996141908,0,0.453912816358256,-0.0430671041666528,-2.18102089043683,0.12324786651746,-0.345130435185186,-0.55816278472221,-0.0777832276234576,-0.27983081558639,-0.183919018518763,0,-0.441274600309391
"10","2015-04-30",0.0688498464506146,-0.839922547856361,-0.0972914066310437,-1.33925167746914,-0.0925717237654204,-0.0660302916666615,0.137493804012216,0.00748205324004125,0,0.259222570213753,-0.0668417461419732,-1.00034722374863,-0.145175066351015,-1.11778938194443,-0.280151476080297,-0.202553412808651,0.0544536358024139,0.00961992901218345,0,0.451715373454489,-0.176551570216061,0.7078551365816,-0.377114364967042,1.93721129012346,-0.0123306751543204,0.0415435717592474,-0.406846853395075,-0.147464744599663,0,-0.424898332565082
