date_time,soil1_moss,soil1_5cm,soil1_10cm,soil1_20cm,soil1_50cm,soil1_100cm,soil1_150cm
2015-04-21,-2.119125,-1.959125,-2.16825,-2.1968750000000004,-2.202875,-1.938,-1.493375
2015-04-22,-1.910625,-1.7865000000000002,-1.949625,-1.9583750000000002,-2.017375,-1.865125,-1.503125
2015-04-23,-1.8155000000000001,-1.703,-1.804125,-1.7978750000000001,-1.8585000000000003,-1.759125,-1.4686249999999998
2015-04-24,-1.870625,-1.867,-1.829375,-1.765125,-1.7855,-1.69925,-1.4619999999999997
2015-04-25,-1.8665,-1.8638749999999997,-1.8299999999999998,-1.752875,-1.7446249999999999,-1.644375,-1.4293749999999998
2015-04-26,-1.89525,-1.89025,-1.8508749999999998,-1.76425,-1.7486249999999999,-1.637875,-1.439
2015-04-27,-1.94325,-1.989625,-1.9058750000000002,-1.78625,-1.755875,-1.635125,-1.439
2015-04-28,-2.09125,-2.224125,-2.039625,-1.8693749999999998,-1.7856250000000002,-1.635,-1.4421249999999999
2015-04-29,-2.27975,-2.4935,-2.229875,-2.0025000000000004,-1.8705,-1.674,-1.4580000000000002
2015-04-30,-2.3419999999999996,-2.55025,-2.3113750000000004,-2.09175,-1.9155,-1.666625,-1.4331249999999998
2015-05-01,-2.2452500000000004,-2.292125,-2.182375,-2.06125,-1.9033749999999998,-1.6381249999999998,-1.40925
2015-05-02,-1.906125,-1.694625,-1.8637500000000002,-1.871375,-1.8299999999999998,-1.60275,-1.361
2015-05-03,-1.5372499999999998,-1.10825,-1.4665,-1.5736250000000003,-1.7137499999999999,-1.60775,-1.389625
2015-05-04,-1.2688750000000002,-0.71525,-1.141375,-1.286375,-1.5614999999999999,-1.58375,-1.414125
2015-05-05,-1.1495,-0.67725,-1.063625,-1.1434999999999997,-1.4581250000000003,-1.5614999999999999,-1.420375
2015-05-06,-1.202625,-0.749125,-1.0565,-1.130125,-1.3401249999999998,-1.451125,-1.38525
2015-05-07,-0.6192500000000001,-0.2734999999999999,-0.514125,-0.648125,-0.974125,-1.3577500000000002,-1.3343749999999999
2015-05-08,0.013624999999999998,0.052875000000000005,0.041625,0.035375000000000004,-0.44449999999999995,-1.2043750000000002,-1.30375
2015-05-09,0.042874999999999996,0.1015,0.078375,0.055874999999999994,-0.5715,-1.0998750000000002,-1.2476250000000002
2015-05-10,0.007875000000000002,0.08962500000000001,0.0495,-0.0805,-0.608625,-1.057375,-1.2337500000000001
2015-05-11,-0.006749999999999999,0.092125,0.035375000000000004,-0.17199999999999996,-0.5895,-0.998875,-1.207875
2015-05-12,0.016375,0.32362499999999994,0.02325,-0.17099999999999999,-0.556875,-0.949125,-1.16425
2015-05-13,0.025375,0.746125,0.013625000000000002,-0.16587500000000002,-0.5375,-0.9183749999999999,-1.1304999999999998
2015-05-14,0.359375,4.4875,0.1835,-0.16512499999999997,-0.51275,-0.88075,-1.1096249999999999
2015-05-15,2.923125,8.530375,1.551,-0.12275,-0.478125,-0.8381250000000001,-1.0718750000000001
2015-05-16,4.553125,11.354499999999998,3.3169999999999997,-0.07575,-0.22062500000000002,-0.74,-1.0558750000000001
2015-05-17,4.931,11.507,3.8875,0.0012499999999999976,-0.00475,-0.5567500000000001,-1.0268750000000002
2015-05-18,6.4357500000000005,14.805124999999999,5.72275,0.082625,0.004624999999999999,-0.49462500000000004,-0.9888749999999998
2015-05-19,6.17025,11.628124999999999,5.355125000000001,0.14475,0.0014999999999999987,-0.4655,-0.945125
