ts_hour,id,id_tsloc,ix,iy,t,q,u,v,psfc,glw,gsw,hfx,lh,grdflx,tsk,tslb(1),rainc,rainnc,clw
2015-04-21 00:00:00,3,1,38,73,0.6180246753246508,0.003779257884972179,-0.3498595547309832,-0.5292825788497219,91629.91678742113,216.77368894248607,224.85497836734834,-0.45629038961038965,2.388817532467536,-3.035201966604824,0.27788858998142413,-9.994187161410036,0.0,0.0,0.0
2015-04-21 01:00:00,3,1,38,73,0.836919092592568,0.0036263333333333195,-0.15764468518518512,-0.07823590740740739,91628.90986687037,217.496100574077,119.84244574074194,-0.2674648333333333,0.992948981481481,-3.1266071111111122,0.17168057407404883,-9.938900148148166,0.0,0.0,1.7407407407407442e-06
2015-04-21 02:00:00,3,1,38,73,0.8160687962962705,0.003489444444444449,-0.1053581666666666,0.19833875925925942,91613.05047755565,220.44186298148207,93.8166112407417,-0.593978333333333,0.8203300555555557,-3.0504171666666657,-0.37725488888891207,-9.872982185185206,0.0,0.0,0.0016898518518518528
2015-04-21 03:00:00,3,1,38,73,0.032660833333309824,0.0032407962962962794,0.14297901851851844,0.27599027777777807,91607.27471072221,233.2288447592623,60.80748166666618,-2.067761777777777,0.0017472592592592594,-1.914155092592592,-3.8975765370370685,-9.81734098148151,0.0,0.0,0.007144944444444444
2015-04-21 04:00:00,3,1,38,73,-1.0990222222222459,0.003244555555555556,0.28172592592592616,-0.5207146851851847,91612.02355324074,244.42953270370614,29.10437288888877,-5.9376937037037,0.0,-0.7068848333333335,-7.600353611111132,-9.784366796296323,0.0,0.0,0.013602388888888891
2015-04-21 05:00:00,3,1,38,73,-2.630251814814839,0.0032163518518518518,-0.24935537037037045,0.12064848148148136,91627.10127312959,247.74847672222148,7.317038092592512,-8.066569074074078,0.0,0.4721012777777779,-11.231228703703726,-9.774040000000152,0.0,0.0,0.017499962962962946
2015-04-21 06:00:00,3,1,38,73,-3.7029255185185423,0.003187944444444451,0.16042949999999984,0.47166275925925966,91630.89126168507,248.40875520370005,0.0062351111111111105,-7.367316833333334,0.0,1.0158981666666664,-12.90773759259262,-9.774040000000152,0.0,0.0,0.022427111111111096
2015-04-21 07:00:00,3,1,38,73,-4.1223664629629875,0.0032527222222222345,0.17403361111111118,0.5354259074074074,91648.50957768514,254.8942216851827,0.0,-6.8907723518518464,0.0,0.6457120185185188,-11.764589925925948,-9.774040000000152,0.0,1.1388888888888888e-05,0.035643814814814795
2015-04-21 08:00:00,3,1,38,73,-3.8273411296296556,0.0032345000000000065,0.5099691666666663,0.15796790740740738,91675.7032697222,282.94228551851927,0.0,-2.5933447037037047,0.0,-0.9336012037037034,-6.885526962962992,-9.761715092592626,0.0,0.012720574074074073,0.07520879629629627
2015-04-21 09:00:00,3,1,38,73,-3.478051074074104,0.0032080925925925883,0.1467187592592593,0.07738479629629628,91689.99039337026,299.1297568333331,0.0,-0.23774859259259248,0.0,-1.8456036851851865,-4.030381759259282,-9.717276018518543,0.0,0.06877844444444446,0.1002593888888889
2015-04-21 10:00:00,3,1,38,73,-3.366450648148172,0.003183481481481474,0.9911876111111111,0.132936833333333,91693.97855898159,299.0910116296307,0.0,-1.1006164259259255,-0.4979616296296296,-1.9295650925925938,-3.738716259259287,-9.681598018518551,0.0,0.09773870370370379,0.10383044444444452
2015-04-21 11:00:00,3,1,38,73,-3.563450648148177,0.0031343333333332976,0.9341931666666657,0.10383981481481484,91683.41811344441,297.19510774074104,0.0,-1.0589776851851842,-0.21796679629629642,-1.7710309259259238,-4.195115500000022,-9.647045777777803,0.0,0.12640627777777777,0.17108088888888884
2015-04-21 12:00:00,3,1,38,73,-3.732081796296322,0.003112555555555547,0.7351598518518515,0.9000176851851857,91664.26895255549,286.22296975925957,0.0,-3.2093735555555543,-0.00448125925925926,-1.1848748148148136,-5.966537888888918,-9.616903166666695,0.0,0.22628174074074073,0.2472950370370372
2015-04-21 13:00:00,3,1,38,73,-4.031922074074101,0.0030687592592592485,0.655254740740741,0.8018969259259261,91635.74573192584,281.67869361110877,0.0,-3.538414925925928,0.0,-0.9208704074074079,-6.752428703703724,-9.598766481481508,0.0,0.44737577777777754,0.20253514814814813
2015-04-21 14:00:00,3,1,38,73,-4.552207407407436,0.002941518518518512,0.7814147407407409,-0.39313431481481487,91618.90182290747,282.5113098518485,7.29722603703708,-1.3764137222222204,-0.20330679629629622,-1.295546518518517,-5.565281240740766,-9.582751500000068,0.0,0.6579871666666665,0.14647199999999996
2015-04-21 15:00:00,3,1,38,73,-4.189434296296322,0.0029116296296296026,1.9737345185185189,-0.47480240740740765,91598.93828124076,286.2208572777768,21.24280392592576,3.899761722222223,4.686490833333331,-1.7874079074074047,-4.009200407407435,-9.563623296296315,0.0,0.8120147592592596,0.24505392592592576
2015-04-21 16:00:00,3,1,38,73,-4.070455814814841,0.002908574074074068,2.6691781111111106,-0.6867485370370375,91593.60902779634,285.38161761111127,40.47127427777771,11.976329444444431,13.03705357407408,-1.8910042592592593,-3.629923611111136,-9.535647370370402,0.0,1.1126239629629644,0.29364922222222206
2015-04-21 17:00:00,3,1,38,73,-4.028311870370398,0.0029186111111111496,3.2704869629629627,-1.086334740740741,91592.22913777774,286.336803629628,61.46366937037073,23.42378035185186,21.602821203703698,-1.9729875185185206,-3.2861437407407643,-9.506870500000026,0.0,1.634551851851851,0.3820904999999998
