ts_hour,id,id_tsloc,ix,iy,t,q,u,v,psfc,glw,gsw,hfx,lh,grdflx,tsk,tslb(1),rainc,rainnc,clw
2015-04-21,3,1,38,73,-2.565606174859204,0.0032036036731229018,1.3140774041206909,-0.1319655498109413,91631.01503485828,270.7668406520699,60.4254202685399,13.03549151400569,12.296227559996895,-1.7102341476965814,-4.235036566864745,-9.639342426112858,0.0,0.9080641492399107,0.12467958715950296
2015-04-22,3,1,38,73,-4.763514260802486,0.002423101080246928,1.5076097746913513,2.235248383487658,92165.77748420695,228.663164120368,68.64507550617188,-6.609655349536985,22.349730928240746,-0.6118481890432106,-7.330037748456809,-9.075622479165418,0.0,7.123368575617151,0.03481306172839328
2015-04-23,3,1,38,73,-3.090606283179047,0.002171968364197395,-1.203666050154317,6.911718898919755,92654.10062632643,203.6832593070955,80.22976520447084,-69.60099780709885,64.22296828626533,-1.2727018094135822,-5.138530311728423,-8.934261032407633,0.0,8.205509999999782,0.001016416666666717
2015-04-24,3,1,38,73,-3.590744226851901,0.0019234976851851937,-0.3914157245370383,2.5773245447531004,92624.38129823154,201.4024348811937,86.51159018132847,-24.63341542206802,24.02231783950617,-0.09113744367284062,-8.864510274691396,-8.876293532406795,0.0,8.205509999999782,0.0021275609567900874
2015-04-25,3,1,38,73,-2.5512543626543343,0.0028845439814815764,0.15814484876543025,0.7195722121913556,92402.97485532665,228.1488289914929,78.52875502159908,-6.058728621141934,13.418566200617281,-0.9733983016975291,-6.629634003086438,-8.483582644289978,0.0,8.20748559181916,0.004735314814815851
2015-04-26,3,1,38,73,-3.361630038580269,0.0029165254629629545,0.22247166358024642,0.09753628703703225,92413.9406913031,218.0511355833276,81.95013463811516,2.5306696234567942,11.089132648919767,-0.1808630648148149,-7.816529304012402,-8.020919921296603,0.0,8.20845607175767,0.00020279629629628448
2015-04-27,3,1,38,73,-6.174871349537044,0.002663761574074021,0.40202426311728395,-0.6893105601851879,92294.19154487146,218.1523758395072,71.11408115277843,9.663307937499981,10.404692579475347,1.173864356481483,-9.715792626543246,-8.173175530093406,0.0,8.354558354166365,0.0011345270061729835
2015-04-28,3,1,38,73,-7.778046067901239,0.0023776203703704795,0.26894128163580294,-0.9737909158950686,92102.9274136617,204.57900113579802,73.7478038827185,9.751501521604927,9.584267384259247,2.2509036836419867,-11.860373238425892,-8.885076993827079,0.0,8.515181689814868,0.0001952554012345785
2015-04-29,3,1,38,73,-8.525454839506178,0.002209503858024553,0.2447829089506182,-0.6210534490740768,91867.7119737709,199.7205188317803,74.35504594984872,8.500957369598742,8.95609788271605,2.272223308641981,-12.412386895061799,-9.404815163580768,0.0,8.645853801696704,0.0003557885802469148
2015-04-30,3,1,38,73,-8.680366222222268,0.002160367283950552,-0.24988744212962866,-1.076263567129625,92187.96698975914,199.68856082251935,75.07973372530498,9.254581159722205,10.943206415895109,2.3810778665123586,-12.947913765432107,-9.784307405092768,0.0,8.780600454476314,0.0005428155864197322
2015-05-01,3,1,38,73,-5.545563013117335,0.002435293981481506,-0.41835255169753083,0.5439772013888917,92663.27789348684,208.84904838504508,80.740135030866,-3.3775217615740765,16.47827754938271,-0.024875849537043297,-9.86357191358032,-9.77735356327204,0.0,8.883490291668327,0.001364040123456717
2015-05-02,3,1,38,73,-2.120318516975336,0.0028553009259258476,-0.46441103240740983,1.7885239830247,93206.14356073235,213.70810197994777,90.07723812576943,-12.842386250000013,8.903933445987697,-2.5226020925926034,-6.362110052469158,-8.83962320216063,0.0,8.888040000001917,6.618441358024275e-05
2015-05-03,3,1,38,73,-2.2342930262345853,0.0027640570987653326,-0.3229143317901236,1.5031281049382754,93563.27276594858,217.97108299074378,95.80434362499663,-10.38532290123461,11.348133111882703,-2.192660887345681,-6.323625831790131,-7.884214380401267,0.0,8.888040000001917,0.0025208510802469204
2015-05-04,3,1,38,73,-2.0162431851852074,0.0027895787037037034,0.09162380169753147,0.739682935185188,93507.26691082022,230.16675640510954,98.06231918286697,-3.4521081095679125,10.566833330246913,-2.6254731087962973,-5.70558234413587,-7.145267810956624,0.0,8.888040000001917,0.009729736111111147
2015-05-05,3,1,38,73,-5.335736550154329,0.0025669050925925248,0.3661585817901239,-2.5369205655864184,93280.53537446307,276.6368770084686,74.12575527237779,28.022946367284085,20.885412770061635,-2.82686894907408,-4.545401161265473,-6.361214273921234,0.0,13.120307940586416,0.1762426087962964
2015-05-06,3,1,38,73,-4.380257608796328,0.0026432978395061514,-0.374017847993826,1.0908643117283952,93145.28922826768,223.8952493896527,86.38601301543294,-5.580378071759242,14.847352135802456,0.05600514197530629,-7.276262580246926,-6.9784695671297134,0.0,17.910877124997896,0.004838141975308601
2015-05-07,3,1,38,73,0.17875805401232311,0.003398651234567879,-0.15948820987654336,3.873996050154326,92738.75506788422,225.67595569444853,96.91594422607692,-37.23482642052474,23.239354397376534,-4.761882103395054,-2.9971696319444585,-6.404067785494038,0.0,17.912689999997802,0.0007957299382716031
2015-05-08,3,1,38,73,1.8090963587962676,0.004161075617283856,-0.13509829398148054,3.962696814814846,92267.14301757007,249.7790194683615,101.12878899691401,-42.22190687114182,18.61020354475304,-9.194222562499995,-0.7674858688271828,-5.351726046296232,0.0,17.912689999997802,0.0070364853395063764
2015-05-09,3,1,38,73,2.3009121365740643,0.004629175925925877,-0.015206733796294657,0.9287241666666686,92447.39902826991,309.3990221311895,69.21483477006096,-10.475706075617257,5.544887020833363,-11.243612155092585,0.02731928009256814,-4.334543220679063,0.0,18.703999337194524,0.1339898765432092
